mpath,step,revision,n_params,n_layers,n_heads,sample,layer,head,ps,ar_acc,ar_mean_rank
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,4,22,0.001493817544542253,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,4,23,0.002952393377199769,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,4,24,4.752272798214108e-05,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,4,25,1.0137670869880822e-05,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,4,26,0.007616603747010231,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,4,27,0.0007315594120882452,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,4,28,0.009789729490876198,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,4,29,0.006554465275257826,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,4,30,0.010447618551552296,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,4,31,0.00878892745822668,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,5,0,0.014513983391225338,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,5,1,0.9256608486175537,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,5,2,0.00020501301332842559,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,5,3,0.006019199267029762,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,5,4,0.0020851234439760447,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,5,5,0.9135217070579529,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,5,6,0.0008695981814526021,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,5,7,0.0002949219197034836,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,5,8,0.013622045516967773,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,5,9,0.0014534229412674904,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,5,10,0.5304774641990662,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,5,11,4.0537499444326386e-05,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,5,12,5.827843051520176e-05,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,5,13,0.0007444501388818026,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,5,14,0.00045975009561516345,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,5,15,0.012503307312726974,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,5,16,0.0001322721946053207,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,5,17,0.0014806161634624004,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,5,18,0.0004469539853744209,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,5,19,3.081188697251491e-05,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,5,20,0.010711558163166046,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,5,21,0.019760755822062492,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,5,22,0.15675042569637299,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,5,23,0.01299976371228695,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,5,24,3.743745037354529e-05,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,5,25,0.06644723564386368,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,5,26,3.1954619771568105e-05,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,5,27,0.1356213241815567,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,5,28,0.011633399873971939,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,5,29,0.017382679507136345,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,5,30,0.008851787075400352,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,5,31,0.002951389877125621,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,6,0,0.0036644055508077145,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,6,1,0.003059424227103591,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,6,2,0.9599823951721191,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,6,3,0.013682706281542778,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,6,4,0.007499311119318008,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,6,5,0.0029262355528771877,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,6,6,3.2891172008220337e-09,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,6,7,0.004834138322621584,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,6,8,0.02622893825173378,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,6,9,0.005166137125343084,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,6,10,0.0014346869429573417,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,6,11,0.03548526018857956,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,6,12,0.00026394816813990474,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,6,13,0.00013583028339780867,0.9800000190734863,28.860000610351562
