mpath,checkpoint,words_seen,n_params,n_layers,n_heads,sample,layer,head,ps,ar_acc,ar_mean_rank
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,8,2,0.01116310153156519,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,8,3,0.012488173320889473,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,8,4,0.010452568531036377,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,8,5,0.01181374303996563,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,8,6,0.00872059166431427,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,8,7,0.009111782535910606,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,8,8,0.008761808276176453,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,8,9,0.011971421539783478,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,8,10,0.01273545902222395,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,8,11,0.013341604731976986,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,9,0,0.011074713431298733,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,9,1,0.010149339213967323,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,9,2,0.01228555478155613,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,9,3,0.01221459824591875,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,9,4,0.01354698184877634,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,9,5,0.013846151530742645,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,9,6,0.007425104267895222,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,9,7,0.016724716871976852,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,9,8,0.005996795371174812,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,9,9,0.0056287068873643875,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,9,10,0.010341359302401543,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,9,11,0.009062021039426327,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,10,0,0.01374717429280281,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,10,1,0.01231468841433525,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,10,2,0.015116304159164429,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,10,3,0.022960040718317032,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,10,4,0.01605759933590889,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,10,5,0.01181296817958355,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,10,6,0.011458436027169228,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,10,7,0.015089917927980423,0.0,7744.259765625
